time_start,zone,psr_type,generation_mw,resolution_minutes
2026-01-01T00:00:00+00:00,SE2,solar,0.04,15
2026-01-01T00:15:00+00:00,SE2,solar,0.039,15
2026-01-01T00:30:00+00:00,SE2,solar,0.038,15
2026-01-01T00:45:00+00:00,SE2,solar,0.037,15
2026-01-01T01:00:00+00:00,SE2,solar,0.035,15
2026-01-01T01:15:00+00:00,SE2,solar,0.034,15
2026-01-01T01:45:00+00:00,SE2,solar,0.035,15
2026-01-01T02:00:00+00:00,SE2,solar,0.038,15
2026-01-01T02:15:00+00:00,SE2,solar,0.039,15
2026-01-01T02:30:00+00:00,SE2,solar,0.04,15
2026-01-01T02:45:00+00:00,SE2,solar,0.042,15
2026-01-01T03:00:00+00:00,SE2,solar,0.044,15
2026-01-01T03:15:00+00:00,SE2,solar,0.047,15
2026-01-01T03:45:00+00:00,SE2,solar,0.044,15
2026-01-01T04:00:00+00:00,SE2,solar,0.032,15
2026-01-01T04:15:00+00:00,SE2,solar,0.03,15
2026-01-01T04:30:00+00:00,SE2,solar,0.029,15
2026-01-01T04:45:00+00:00,SE2,solar,0.028,15
2026-01-01T05:15:00+00:00,SE2,solar,0.027,15
2026-01-01T05:30:00+00:00,SE2,solar,0.026,15
2026-01-01T05:45:00+00:00,SE2,solar,0.025,15
2026-01-01T06:00:00+00:00,SE2,solar,0.022,15
2026-01-01T06:30:00+00:00,SE2,solar,0.021,15
2026-01-01T06:45:00+00:00,SE2,solar,0.02,15
2026-01-01T08:00:00+00:00,SE2,solar,0.023,15
2026-01-01T08:15:00+00:00,SE2,solar,0.027,15
2026-01-01T08:30:00+00:00,SE2,solar,0.032,15
2026-01-01T08:45:00+00:00,SE2,solar,0.029,15
2026-01-01T09:00:00+00:00,SE2,solar,0.086,15
2026-01-01T09:15:00+00:00,SE2,solar,0.089,15
2026-01-01T09:30:00+00:00,SE2,solar,0.091,15
2026-01-01T09:45:00+00:00,SE2,solar,0.092,15
2026-01-01T10:00:00+00:00,SE2,solar,0.112,15
2026-01-01T10:15:00+00:00,SE2,solar,0.113,15
2026-01-01T10:30:00+00:00,SE2,solar,0.114,15
2026-01-01T10:45:00+00:00,SE2,solar,0.116,15
2026-01-01T11:00:00+00:00,SE2,solar,0.12,15
2026-01-01T11:15:00+00:00,SE2,solar,0.123,15
2026-01-01T11:30:00+00:00,SE2,solar,0.122,15
2026-01-01T11:45:00+00:00,SE2,solar,0.118,15
2026-01-01T12:00:00+00:00,SE2,solar,0.099,15
2026-01-01T12:15:00+00:00,SE2,solar,0.096,15
2026-01-01T12:30:00+00:00,SE2,solar,0.093,15
2026-01-01T12:45:00+00:00,SE2,solar,0.091,15
2026-01-01T13:00:00+00:00,SE2,solar,0.075,15
2026-01-01T13:15:00+00:00,SE2,solar,0.073,15
2026-01-01T13:30:00+00:00,SE2,solar,0.072,15
2026-01-01T13:45:00+00:00,SE2,solar,0.071,15
2026-01-01T14:00:00+00:00,SE2,solar,0.024,15
2026-01-01T14:15:00+00:00,SE2,solar,0.023,15
2026-01-01T15:00:00+00:00,SE2,solar,0.024,15
2026-01-01T16:00:00+00:00,SE2,solar,0.023,15
2026-01-01T17:00:00+00:00,SE2,solar,0.024,15
2026-01-01T17:15:00+00:00,SE2,solar,0.026,15
2026-01-01T17:30:00+00:00,SE2,solar,0.027,15
2026-01-01T17:45:00+00:00,SE2,solar,0.028,15
2026-01-01T18:00:00+00:00,SE2,solar,0.029,15
2026-01-01T18:15:00+00:00,SE2,solar,0.032,15
2026-01-01T18:30:00+00:00,SE2,solar,0.035,15
2026-01-01T18:45:00+00:00,SE2,solar,0.038,15
2026-01-01T19:00:00+00:00,SE2,solar,0.047,15
2026-01-01T19:15:00+00:00,SE2,solar,0.049,15
2026-01-01T19:30:00+00:00,SE2,solar,0.05,15
2026-01-01T20:00:00+00:00,SE2,solar,0.051,15
2026-01-01T20:15:00+00:00,SE2,solar,0.052,15
2026-01-01T20:30:00+00:00,SE2,solar,0.053,15
2026-01-01T20:45:00+00:00,SE2,solar,0.054,15
2026-01-01T21:00:00+00:00,SE2,solar,0.057,15
2026-01-01T23:00:00+00:00,SE2,solar,0.055,15
2026-01-01T23:15:00+00:00,SE2,solar,0.053,15
2026-01-01T23:30:00+00:00,SE2,solar,0.052,15
2026-01-01T23:45:00+00:00,SE2,solar,0.051,15
2026-01-02T00:00:00+00:00,SE2,solar,0.049,15
2026-01-02T00:15:00+00:00,SE2,solar,0.048,15
2026-01-02T00:30:00+00:00,SE2,solar,0.046,15
2026-01-02T00:45:00+00:00,SE2,solar,0.044,15
2026-01-02T01:00:00+00:00,SE2,solar,0.041,15
2026-01-02T01:15:00+00:00,SE2,solar,0.039,15
2026-01-02T01:45:00+00:00,SE2,solar,0.041,15
2026-01-02T02:00:00+00:00,SE2,solar,0.043,15
2026-01-02T02:15:00+00:00,SE2,solar,0.044,15
2026-01-02T02:30:00+00:00,SE2,solar,0.046,15
2026-01-02T02:45:00+00:00,SE2,solar,0.047,15
2026-01-02T03:00:00+00:00,SE2,solar,0.049,15
2026-01-02T03:15:00+00:00,SE2,solar,0.05,15
2026-01-02T03:45:00+00:00,SE2,solar,0.049,15
2026-01-02T04:00:00+00:00,SE2,solar,0.035,15
2026-01-02T04:15:00+00:00,SE2,solar,0.032,15
2026-01-02T04:30:00+00:00,SE2,solar,0.031,15
2026-01-02T04:45:00+00:00,SE2,solar,0.028,15
2026-01-02T05:15:00+00:00,SE2,solar,0.027,15
2026-01-02T05:30:00+00:00,SE2,solar,0.026,15
2026-01-02T05:45:00+00:00,SE2,solar,0.024,15
2026-01-02T06:00:00+00:00,SE2,solar,0.023,15
2026-01-02T06:15:00+00:00,SE2,solar,0.022,15
2026-01-02T06:30:00+00:00,SE2,solar,0.021,15
2026-01-02T06:45:00+00:00,SE2,solar,0.02,15
2026-01-02T07:15:00+00:00,SE2,solar,0.019,15
2026-01-02T07:45:00+00:00,SE2,solar,0.02,15
2026-01-02T08:00:00+00:00,SE2,solar,0.021,15
2026-01-02T08:15:00+00:00,SE2,solar,0.022,15
2026-01-02T08:30:00+00:00,SE2,solar,0.024,15
2026-01-02T08:45:00+00:00,SE2,solar,0.028,15
2026-01-02T09:00:00+00:00,SE2,solar,0.093,15
2026-01-02T09:15:00+00:00,SE2,solar,0.101,15
2026-01-02T09:30:00+00:00,SE2,solar,0.104,15
2026-01-02T09:45:00+00:00,SE2,solar,0.108,15
2026-01-02T10:00:00+00:00,SE2,solar,0.194,15
