time_start,zone,imbl_sales_price_eur_mwh,imbl_purchase_price_eur_mwh,up_reg_price_eur_mwh,down_reg_price_eur_mwh,main_dir_reg_power,imbl_spot_diff_eur_mwh
2026-01-01T00:00:00Z,SE1,-1.0,-1.0,24.03,-1.0,-1.0,-25.03
2026-01-01T00:15:00Z,SE1,1.0,1.0,25.21,1.0,-1.0,-24.21
2026-01-01T00:30:00Z,SE1,0.0,0.0,21.5,0.0,-1.0,-21.5
2026-01-01T00:45:00Z,SE1,4.0,4.0,16.61,4.0,-1.0,-12.61
2026-01-01T01:00:00Z,SE1,3.0,3.0,21.56,3.0,-1.0,-18.56
2026-01-01T01:15:00Z,SE1,4.0,4.0,15.54,4.0,-1.0,-11.54
2026-01-01T01:30:00Z,SE1,-1.0,-1.0,12.79,-1.0,-1.0,-13.79
2026-01-01T01:45:00Z,SE1,-0.5,-0.5,7.1,-0.5,-1.0,-7.6
2026-01-01T02:00:00Z,SE1,4.0,4.0,10.93,4.0,-1.0,-6.93
2026-01-01T02:15:00Z,SE1,6.68,6.68,22.0,6.68,-1.0,0.0
2026-01-01T02:30:00Z,SE1,7.03,7.03,7.03,5.72,1.0,1.31
2026-01-01T02:45:00Z,SE1,-1.5,-1.5,5.39,-1.5,-1.0,-6.89
2026-01-01T03:00:00Z,SE1,5.91,5.91,7.05,5.91,-1.0,0.0
2026-01-01T03:15:00Z,SE1,4.0,4.0,5.75,4.0,-1.0,-1.75
2026-01-01T03:30:00Z,SE1,-1.0,-1.0,5.29,-1.0,-1.0,-6.29
2026-01-01T03:45:00Z,SE1,-5.0,-5.0,4.88,-5.0,-1.0,-9.88
2026-01-01T04:00:00Z,SE1,-5.0,-5.0,5.41,-5.0,-1.0,-10.41
2026-01-01T04:15:00Z,SE1,0.0,0.0,5.09,0.0,-1.0,-5.09
2026-01-01T04:30:00Z,SE1,3.0,3.0,5.09,3.0,-1.0,-2.09
2026-01-01T04:45:00Z,SE1,1.0,1.0,4.85,1.0,-1.0,-3.85
2026-01-01T05:00:00Z,SE1,1.0,1.0,5.39,1.0,-1.0,-4.39
2026-01-01T05:15:00Z,SE1,4.0,4.0,5.09,4.0,-1.0,-1.09
2026-01-01T05:30:00Z,SE1,1.0,1.0,5.46,1.0,-1.0,-4.46
2026-01-01T05:45:00Z,SE1,4.71,4.71,5.33,4.71,-1.0,-0.62
2026-01-01T06:00:00Z,SE1,-1.98,-1.98,5.6,-1.98,-1.0,-7.58
