time_start,time_end,SEK_per_kWh,EUR_per_kWh,EXR
2026-01-01T00:00:00+01:00,2026-01-01T00:15:00+01:00,0.44914,0.04158,10.801826
2026-01-01T00:15:00+01:00,2026-01-01T00:30:00+01:00,0.44147,0.04087,10.801826
2026-01-01T00:30:00+01:00,2026-01-01T00:45:00+01:00,0.43423,0.0402,10.801826
2026-01-01T00:45:00+01:00,2026-01-01T01:00:00+01:00,0.42376,0.03923,10.801826
2026-01-01T01:00:00+01:00,2026-01-01T01:15:00+01:00,0.41371,0.0383,10.801826
2026-01-01T01:15:00+01:00,2026-01-01T01:30:00+01:00,0.4176,0.03866,10.801826
2026-01-01T01:30:00+01:00,2026-01-01T01:45:00+01:00,0.38627,0.03576,10.801826
2026-01-01T01:45:00+01:00,2026-01-01T02:00:00+01:00,0.25179,0.02331,10.801826
2026-01-01T02:00:00+01:00,2026-01-01T02:15:00+01:00,0.35257,0.03264,10.801826
2026-01-01T02:15:00+01:00,2026-01-01T02:30:00+01:00,0.20977,0.01942,10.801826
2026-01-01T02:30:00+01:00,2026-01-01T02:45:00+01:00,0.15587,0.01443,10.801826
2026-01-01T02:45:00+01:00,2026-01-01T03:00:00+01:00,0.07929,0.00734,10.801826
2026-01-01T03:00:00+01:00,2026-01-01T03:15:00+01:00,0.10877,0.01007,10.801826
2026-01-01T03:15:00+01:00,2026-01-01T03:30:00+01:00,0.0728,0.00674,10.801826
2026-01-01T03:30:00+01:00,2026-01-01T03:45:00+01:00,0.04839,0.00448,10.801826
2026-01-01T03:45:00+01:00,2026-01-01T04:00:00+01:00,0.04386,0.00406,10.801826
2026-01-01T04:00:00+01:00,2026-01-01T04:15:00+01:00,0.04958,0.00459,10.801826
2026-01-01T04:15:00+01:00,2026-01-01T04:30:00+01:00,0.04731,0.00438,10.801826
2026-01-01T04:30:00+01:00,2026-01-01T04:45:00+01:00,0.03878,0.00359,10.801826
2026-01-01T04:45:00+01:00,2026-01-01T05:00:00+01:00,0.03413,0.00316,10.801826
2026-01-01T05:00:00+01:00,2026-01-01T05:15:00+01:00,0.03446,0.00319,10.801826
2026-01-01T05:15:00+01:00,2026-01-01T05:30:00+01:00,0.02744,0.00254,10.801826
